"","dt","LandAverageTemperature","LandAverageTemperatureUncertainty","LandMaxTemperature","LandMaxTemperatureUncertainty","LandMinTemperature","LandMinTemperatureUncertainty","LandAndOceanAverageTemperature","LandAndOceanAverageTemperatureUncertainty","Country"
"1","1750-01-01",3.034,3.574,NA,NA,NA,NA,NA,NA,"Global"
"2","1750-02-01",3.083,3.702,NA,NA,NA,NA,NA,NA,"Global"
"3","1750-03-01",5.626,3.076,NA,NA,NA,NA,NA,NA,"Global"
"4","1750-04-01",8.49,2.451,NA,NA,NA,NA,NA,NA,"Global"
"5","1750-05-01",11.573,2.072,NA,NA,NA,NA,NA,NA,"Global"
"6","1750-06-01",12.937,1.724,NA,NA,NA,NA,NA,NA,"Global"
"7","1750-07-01",15.868,1.911,NA,NA,NA,NA,NA,NA,"Global"
"8","1750-08-01",14.75,2.231,NA,NA,NA,NA,NA,NA,"Global"
"9","1750-09-01",11.413,2.637,NA,NA,NA,NA,NA,NA,"Global"
"10","1750-10-01",6.367,2.668,NA,NA,NA,NA,NA,NA,"Global"
"11","1750-11-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"12","1750-12-01",2.772,2.97,NA,NA,NA,NA,NA,NA,"Global"
"13","1751-01-01",2.495,3.469,NA,NA,NA,NA,NA,NA,"Global"
"14","1751-02-01",0.963,3.827,NA,NA,NA,NA,NA,NA,"Global"
"15","1751-03-01",5.8,3.051,NA,NA,NA,NA,NA,NA,"Global"
"16","1751-04-01",7.67,2.368,NA,NA,NA,NA,NA,NA,"Global"
"17","1751-05-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"18","1751-06-01",13.827,1.801,NA,NA,NA,NA,NA,NA,"Global"
"19","1751-07-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"20","1751-08-01",14.405,2.296,NA,NA,NA,NA,NA,NA,"Global"
"21","1751-09-01",10.673,2.656,NA,NA,NA,NA,NA,NA,"Global"
"22","1751-10-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"23","1751-11-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"24","1751-12-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"25","1752-01-01",0.348,3.789,NA,NA,NA,NA,NA,NA,"Global"
"26","1752-02-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"27","1752-03-01",5.806,3.192,NA,NA,NA,NA,NA,NA,"Global"
"28","1752-04-01",8.265,2.398,NA,NA,NA,NA,NA,NA,"Global"
"29","1752-05-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"30","1752-06-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"31","1752-07-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"32","1752-08-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"33","1752-09-01",NA,NA,NA,NA,NA,NA,NA,NA,"Global"
"34","1752-10-01",7.839,2.754,NA,NA,NA,NA,NA,NA,"Global"
"35","1752-11-01",7.335,2.747,NA,NA,NA,NA,NA,NA,"Global"
"36","1752-12-01",5.086,2.982,NA,NA,NA,NA,NA,NA,"Global"
"37","1753-01-01",2.039,3.478,NA,NA,NA,NA,NA,NA,"Global"
"38","1753-02-01",0.715,6.341,NA,NA,NA,NA,NA,NA,"Global"
